X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,ventas
3.1,1.9,10,4.5,2.6,3.2,3.8,0,55,4.9,55
3.4,3.9,5.6,5.6,3.6,2.3,9.1,1,43,4.7,43
5.8,0.2,8.8,4.5,3,2.4,6.7,0,57,4.9,57
5.4,2.1,8,3,3.8,1.4,5.2,0,53,3.8,53
3.7,0.7,8.2,6,2.1,2.5,5.2,0,41,5,41
2.6,4.8,8.2,5,3.6,2.5,9,1,53,5.2,53
4.5,4.1,6.3,5.9,4.3,3.4,8.8,1,50,5.5,50
2.8,2.4,6.7,4.9,2.5,2.6,9.2,1,32,3.7,32
3.8,0.8,8.7,2.9,1.6,2.1,5.6,0,39,3.7,39
2.9,2.6,7.7,7,2.8,3.6,7.7,0,47,4.2,47
4.9,4.4,7.4,6.9,4.6,4,9.6,1,62,6.2,62
5.4,2.5,9.6,5.5,4,3,7.7,0,65,6,65
4.3,1.8,7.6,5.4,3.1,2.5,4.4,0,46,5.6,46
2.3,4.5,8,4.7,3.3,2.2,8.7,1,50,5,50
3.1,1.9,9.9,4.5,2.6,3.1,3.8,0,54,4.8,54
5.1,1.9,9.2,5.8,3.6,2.3,4.5,0,60,6.1,60
4.1,1.1,9.3,5.5,2.5,2.7,7.4,0,47,5.3,47
3,3.8,5.5,4.9,3.4,2.6,6,0,36,4.2,36
1.1,2,7.2,4.7,1.6,3.2,10,1,40,3.4,40
3.7,1.4,9,4.5,2.6,2.3,6.8,0,45,4.9,45
4.2,2.5,9.2,6.2,3.3,3.9,7.3,0,59,6,59
1.6,4.5,6.4,5.3,3,2.5,7.1,1,46,4.5,46
5.3,1.7,8.5,3.7,3.5,1.9,4.8,0,58,4.3,58
2.3,3.7,8.3,5.2,3,2.3,9.1,1,49,4.8,49
3.6,5.4,5.9,6.2,4.5,2.9,8.4,1,50,5.4,50
5.6,2.2,8.2,3.1,4,1.6,5.3,0,55,3.9,55
3.6,2.2,9.9,4.8,2.9,1.9,4.9,0,51,4.9,51
5.2,1.3,9.1,4.5,3.3,2.7,7.3,0,60,5.1,60
3,2,6.6,6.6,2.4,2.7,8.2,0,41,4.1,41
4.2,2.4,9.4,4.9,3.2,2.7,8.5,1,49,5.2,49
3.8,0.8,8.3,6.1,2.2,2.6,5.3,0,42,5.1,42
3.3,2.6,9.7,3.3,2.9,1.5,5.2,0,47,5.1,47
1,1.9,7.1,4.5,1.5,3.1,9.9,0,39,3.3,39
4.5,1.6,8.7,4.6,3.1,2.1,6.8,1,56,5.1,56
5.5,1.8,8.7,3.8,3.6,2.1,4.9,0,59,4.5,59
3.4,4.6,5.5,8.2,4,4.4,6.3,0,47.3,5.6,47.3
1.6,2.8,6.1,6.4,2.3,3.8,8.2,0,41,4.1,41
2.3,3.7,7.6,5,2.8,2.5,7.4,1,37,4.4,37
2.6,3,8.5,6,2.8,2.8,6.8,0,53,5.6,53
2.5,3.1,7,4.2,2.7,2.2,9,1,43,3.7,43
2.4,2.9,8.4,5.9,2.8,2.7,6.7,1,51,5.5,51
2.1,3.5,7.4,4.8,2,2.3,7.2,1,36,4.3,36
2.9,1.2,7.3,6.1,3.4,2.5,8,0,34,4,34
4.3,2.5,9.3,6.3,3.5,4,7.4,1,60,6.1,60
3,2.8,7.8,7.1,3.3,3.8,7.9,0,49,4.4,49
4.8,1.7,7.6,4.2,3.6,1.4,5.8,0,39,5.5,39
3.1,4.2,5.1,7.8,2.2,4,5.9,0,43,5.2,43
1.9,2.7,5,4.9,2.2,2.5,8.2,0,36,3.6,36
4,0.5,6.7,4.5,0.7,2.1,5,1,31,4,31
0.6,1.6,6.4,5,3.3,2.1,8.4,0,25,3.4,25
6.1,0.5,9.2,4.8,2.4,2.8,7.1,1,60,5.2,60
2,2.8,5.2,5,2.6,2.7,8.4,0,38,3.7,38
3.1,2.2,6.7,6.8,2.2,2.9,8.4,1,42,4.3,42
2.5,1.8,9,5,,3,6,1,33,4.4,33
